NMS - Student Country Data,,,,,
,,,,,
Country,Count,Total,,,
Kazahkstan,3,102,,,
Belgium,3,,,,
Bolivia,1,,,,
Brazil,1,,,,
Croatia,2,,,,
Egypt,4,,,,
El Salvador,1,,,,
England,9,,,,
Ethiopia,1,,,,
Fiji,1,,,,
France,10,,,,
Germany,3,,,,
Ghana,2,,,,
India,5,,,,
Ireland,6,,,,
Israel,3,,,,
Italy,4,,,,
Ivory Coast,1,,,,
Jamaica,1,,,,
La Reunion,3,,,,
Lithuania,1,,,,
Madagascar,1,,,,
Mongolia,1,,,,
Morocco,1,,,,
Namibia,1,,,,
New Zealand,1,,,,
Nigeria,2,,,,
Papua New,1,,,,
Phillipines,2,,,,
Portugal,2,,,,
Russia,1,,,,
Scotland,1,,,,
South Africa,1,,,,
South Korea,1,,,,
Spain,2,,,,
Spain,2,,,,
Sweden,2,,,,
Switzerland,3,,,,
Togo,1,,,,
Uganda,3,,,,
USA,5,,,,
Vietnam,1,,,,
Japan,2,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
